ranking_home,ranking_away,mean_points_per_match_tot_home,mean_points_per_match_tot_away,mean_points_per_match_in_location_home,mean_points_per_match_in_location_away,matches_won_tot_home,matches_won_tot_away,mean_shots_home,mean_shots_away,mean_shot_on_target_home,mean_shot_on_target_away,mean_fouls_home,mean_fouls_away,mean_yellow_cards_home,mean_yellow_cards_away,score_home,score_away,winners
10.0,2.0,0.9,2.6,1.0,2.4,0.4,0.8,9.5,13.8,2.7,6.0,13.2,12.4,3.1,1.6,1.0,2.0,A
10.0,12.0,0.8,0.3,1.0,0.4,0.3,0.0,11.6,12.3,3.6,3.1,17.5,11.8,2.2,1.6,2.0,1.0,H
7.0,5.0,1.3,1.6,1.6,2.0,0.4,0.5,13.8,17.2,4.4,5.5,10.6,14.6,1.6,1.8,1.0,4.0,A
6.0,8.0,1.8,1.4,1.8,1.1666666666666667,0.5,0.3,15.7,11.4,5.3,4.0,16.6,15.0,1.4,2.0,3.0,0.0,H
8.0,0.0,1.0,2.9,1.4,2.8333333333333335,0.1,0.9,11.3,18.6,4.2,8.1,15.9,9.9,1.8,1.2,2.0,3.0,A
1.0,9.0,3.1,0.8,2.6666666666666665,0.4,0.8,0.1,16.1,9.5,6.4,2.3,11.6,11.9,1.7,2.0,4.0,1.0,H
7.0,11.0,1.7777777777777777,0.6,1.6,0.4,0.7777777777777778,0.1,16.666666666666668,9.7,5.111111111111111,3.2,10.444444444444445,14.0,0.8888888888888888,1.1,1.0,0.0,H
11.0,5.0,0.5,1.6,0.2,1.2,0.2,0.3,13.3,11.9,3.6,4.1,13.2,13.8,2.1,2.5,0.0,1.0,A
4.0,0.0,1.4545454545454546,3.0,1.0,3.4,0.45454545454545453,0.8181818181818182,16.636363636363637,15.454545454545455,5.363636363636363,6.181818181818182,15.181818181818182,11.454545454545455,1.8181818181818181,1.5454545454545454,0.0,2.0,A
5.0,9.0,1.7,0.8181818181818182,1.5,0.6666666666666666,0.8,0.36363636363636365,16.5,9.545454545454545,4.9,2.6363636363636362,10.4,13.181818181818182,0.9,3.1818181818181817,1.0,0.0,H
11.0,0.0,0.36363636363636365,2.8181818181818183,0.3333333333333333,2.8333333333333335,0.0,0.8181818181818182,12.909090909090908,13.636363636363637,3.3636363636363638,6.2727272727272725,11.818181818181818,12.181818181818182,1.5454545454545454,1.5454545454545454,1.0,5.0,A
8.0,4.0,0.7272727272727273,1.7272727272727273,1.0,1.6666666666666667,0.18181818181818182,0.45454545454545453,9.818181818181818,15.818181818181818,3.3636363636363638,5.090909090909091,14.454545454545455,16.636363636363637,1.2727272727272727,1.5454545454545454,2.0,1.0,H
0.0,9.0,2.909090909090909,0.5454545454545454,3.0,0.8333333333333334,0.9090909090909091,0.18181818181818182,19.272727272727273,12.818181818181818,8.181818181818182,3.3636363636363638,10.272727272727273,13.181818181818182,1.2727272727272727,2.090909090909091,3.0,1.0,H
1.0,6.0,2.2,1.2727272727272727,3.2,1.0,0.6,0.36363636363636365,12.5,13.727272727272727,4.8,4.545454545454546,10.6,10.636363636363637,1.7,1.7272727272727273,4.0,1.0,H
7.0,7.0,0.8181818181818182,0.9090909090909091,1.1666666666666667,0.5,0.18181818181818182,0.09090909090909091,9.272727272727273,11.454545454545455,2.3636363636363638,4.0,12.090909090909092,16.636363636363637,2.1818181818181817,1.9090909090909092,1.0,0.0,H
5.0,9.0,1.4545454545454546,0.8181818181818182,1.8,0.6666666666666666,0.36363636363636365,0.2727272727272727,12.090909090909092,11.181818181818182,4.181818181818182,3.5454545454545454,14.454545454545455,17.636363636363637,2.1818181818181817,2.272727272727273,2.0,1.0,H
3.0,2.0,1.6363636363636365,1.6363636363636365,2.0,1.0,0.36363636363636365,0.36363636363636365,11.454545454545455,14.090909090909092,4.090909090909091,5.2727272727272725,13.909090909090908,12.090909090909092,2.272727272727273,1.7272727272727273,2.0,1.0,H
10.0,3.0,0.6363636363636364,2.0,0.5,1.6666666666666667,0.09090909090909091,0.8181818181818182,11.545454545454545,15.454545454545455,3.090909090909091,5.545454545454546,12.181818181818182,10.909090909090908,2.5454545454545454,2.0,1.0,2.0,A
7.0,8.0,0.9166666666666666,0.9166666666666666,1.1666666666666667,0.8333333333333334,0.3333333333333333,0.25,10.0,9.833333333333334,2.8333333333333335,3.5833333333333335,13.25,14.416666666666666,3.0833333333333335,1.4166666666666667,2.0,3.0,A
7.0,1.0,0.8333333333333334,2.1818181818181817,1.1666666666666667,1.3333333333333333,0.08333333333333333,0.6363636363636364,11.666666666666666,12.363636363636363,3.8333333333333335,4.818181818181818,17.083333333333332,10.363636363636363,2.0833333333333335,1.7272727272727273,0.0,2.0,A
3.0,9.0,1.5833333333333333,0.8333333333333334,2.0,0.5,0.3333333333333333,0.16666666666666666,13.666666666666666,9.416666666666666,5.083333333333333,2.4166666666666665,12.25,12.166666666666666,1.5833333333333333,2.1666666666666665,1.0,1.0,D
9.0,11.0,0.9166666666666666,0.6666666666666666,1.1666666666666667,0.8333333333333334,0.3333333333333333,0.08333333333333333,12.083333333333334,11.333333333333334,4.0,3.0,17.083333333333332,12.416666666666666,2.25,2.6666666666666665,2.0,1.0,H
8.0,1.0,1.1666666666666667,2.6666666666666665,1.3333333333333333,2.4285714285714284,0.3333333333333333,0.8333333333333334,12.833333333333334,19.25,4.25,7.916666666666667,10.333333333333334,10.0,1.6666666666666667,1.4166666666666667,0.0,0.0,D
6.0,5.0,1.75,1.9090909090909092,1.8333333333333333,2.4,0.4166666666666667,0.8181818181818182,16.166666666666668,16.90909090909091,5.166666666666667,5.363636363636363,16.5,10.363636363636363,1.5,0.9090909090909091,2.0,4.0,A
4.0,7.0,1.9166666666666667,1.4166666666666667,2.1666666666666665,1.1428571428571428,0.75,0.3333333333333333,15.833333333333334,11.666666666666666,5.5,4.083333333333333,11.583333333333334,14.25,2.0833333333333335,2.4166666666666665,1.0,1.0,D
0.0,12.0,2.9166666666666665,0.4166666666666667,2.5714285714285716,0.5,0.8333333333333334,0.0,16.416666666666668,12.083333333333334,6.333333333333333,3.1666666666666665,11.75,11.916666666666666,1.6666666666666667,1.6666666666666667,2.0,1.0,H
11.0,5.0,0.5,1.5,0.16666666666666666,2.0,0.16666666666666666,0.5,12.25,16.416666666666668,3.1666666666666665,5.75,13.75,15.166666666666666,2.0833333333333335,1.9166666666666667,0.0,2.0,A
1.0,4.0,2.6153846153846154,1.4615384615384615,2.8333333333333335,1.8571428571428572,0.8461538461538461,0.46153846153846156,19.0,16.153846153846153,8.076923076923077,5.538461538461538,10.538461538461538,14.538461538461538,1.4615384615384615,1.8461538461538463,2.0,1.0,H
5.0,0.0,1.9166666666666667,2.6666666666666665,1.5714285714285714,2.5714285714285716,0.8333333333333334,0.75,16.833333333333332,13.5,5.5,5.916666666666667,10.416666666666666,12.583333333333334,1.0,1.75,2.0,1.0,H
13.0,10.0,0.46153846153846156,0.6153846153846154,0.42857142857142855,1.0,0.0,0.23076923076923078,12.153846153846153,12.461538461538462,3.3846153846153846,3.3076923076923075,13.0,13.538461538461538,1.8461538461538463,2.0,1.0,2.0,A
11.0,10.0,0.8461538461538461,0.8461538461538461,0.8571428571428571,0.5714285714285714,0.23076923076923078,0.15384615384615385,9.923076923076923,11.538461538461538,3.6923076923076925,4.076923076923077,14.615384615384615,16.923076923076923,1.3846153846153846,2.1538461538461537,0.0,1.0,A
3.0,4.0,1.9230769230769231,1.4615384615384615,2.142857142857143,0.8333333333333334,0.7692307692307693,0.3076923076923077,15.23076923076923,13.23076923076923,5.384615384615385,4.769230769230769,11.461538461538462,12.307692307692308,1.9230769230769231,1.6153846153846154,2.0,0.0,H
0.0,0.0,2.25,2.8461538461538463,3.1666666666666665,3.1666666666666665,0.6666666666666666,0.7692307692307693,12.083333333333334,16.615384615384617,4.833333333333333,6.153846153846154,10.5,12.0,1.9166666666666667,1.7692307692307692,3.0,2.0,H
9.0,7.0,0.8461538461538461,1.6923076923076923,1.1428571428571428,1.5714285714285714,0.15384615384615385,0.38461538461538464,9.23076923076923,16.46153846153846,2.3076923076923075,5.153846153846154,12.0,16.53846153846154,2.3076923076923075,1.6153846153846154,1.0,1.0,D
8.0,9.0,1.3846153846153846,1.1538461538461537,1.6666666666666667,1.0,0.3076923076923077,0.3076923076923077,12.23076923076923,12.76923076923077,4.153846153846154,4.230769230769231,13.846153846153847,10.692307692307692,2.3076923076923075,1.6153846153846154,1.0,1.0,D
6.0,10.0,1.5,0.9230769230769231,1.7142857142857142,0.7142857142857143,0.3333333333333333,0.38461538461538464,11.666666666666666,12.076923076923077,4.166666666666667,4.0,13.5,16.615384615384617,2.1666666666666665,2.076923076923077,0.0,1.0,A
12.0,10.0,0.7692307692307693,1.0769230769230769,0.7142857142857143,1.0,0.07692307692307693,0.38461538461538464,11.76923076923077,10.153846153846153,3.1538461538461537,3.0,12.307692307692308,13.076923076923077,2.6153846153846154,2.923076923076923,2.0,3.0,A
8.0,0.0,1.2142857142857142,2.076923076923077,1.4285714285714286,1.1428571428571428,0.42857142857142855,0.6153846153846154,10.214285714285714,12.692307692307692,3.2142857142857144,5.0,12.5,10.692307692307692,2.857142857142857,1.9230769230769231,3.0,0.0,H
9.0,3.0,0.9285714285714286,2.0,1.1428571428571428,1.8571428571428572,0.35714285714285715,0.7857142857142857,12.285714285714286,14.857142857142858,4.0,5.285714285714286,16.285714285714285,11.714285714285714,2.0714285714285716,1.9285714285714286,1.0,3.0,A
8.0,9.0,1.2142857142857142,0.8571428571428571,1.4285714285714286,0.5714285714285714,0.35714285714285715,0.14285714285714285,12.714285714285714,9.571428571428571,4.142857142857143,2.5,11.571428571428571,12.857142857142858,1.5,2.2142857142857144,2.0,1.0,H
10.0,10.0,0.5714285714285714,0.8571428571428571,0.14285714285714285,1.0,0.21428571428571427,0.14285714285714285,13.0,11.571428571428571,3.2857142857142856,3.357142857142857,13.285714285714286,12.5,1.8571428571428572,2.642857142857143,0.0,2.0,A
8.0,5.0,0.8571428571428571,1.8461538461538463,1.1428571428571428,2.1666666666666665,0.14285714285714285,0.7692307692307693,11.357142857142858,16.615384615384617,4.071428571428571,5.384615384615385,16.785714285714285,10.846153846153847,2.0714285714285716,1.1538461538461537,1.0,1.0,D
0.0,10.0,2.857142857142857,0.7857142857142857,2.625,0.7142857142857143,0.7857142857142857,0.21428571428571427,17.214285714285715,9.5,6.428571428571429,3.5,11.714285714285714,14.214285714285714,1.7857142857142858,1.4285714285714286,3.0,0.0,H
